IDind,daily_calories_2000,daily_calories_2011,height_cm_2000,height_cm_2011,age_2000,age_2011
211101008005,2267.826466666667,2286.613966333333,162.0,175.0,12.0,24.0
211101008061,1671.8564071666667,2166.041309666667,120.2,172.0,6.0,17.0
211103013003,1884.0648676666667,1385.5031769999998,163.0,164.5,17.0,28.0
211104001004,3394.813400234727,1526.421314,142.0,165.0,12.0,23.0
211104004003,1575.503092777778,1520.743544888889,160.0,170.5,15.0,26.0
211104011003,1697.2609006666664,954.825052,142.0,158.8,14.0,25.0
211104123002,2409.5883672442833,1500.530403888889,136.0,173.0,12.0,23.0
211203006005,2749.243509,2923.792919943516,176.6,180.0,16.0,27.0
211208008003,1034.5128386666668,2238.3305193809524,149.0,180.8,12.0,23.0
211208020005,764.9999999999999,2154.5728759999997,76.0,160.0,1.0,12.0
212101065003,1968.3707064999999,1885.5648860555557,144.5,179.1,12.0,23.0
212101066003,1389.0754816666667,1565.499221666667,163.2,160.0,13.0,24.0
212103062003,1645.2418799999998,1438.2398176666666,71.0,137.6,0.0,11.0
212103064003,1166.0417433333334,1702.0307153333333,146.7,159.0,12.0,23.0
212104019003,1750.8419519999998,2234.640701777778,161.5,171.2,15.0,26.0
212201063003,1377.0857763333336,627.70676,118.0,166.5,5.0,16.0
212202009005,1090.071568,1060.6633483333335,161.0,168.0,16.0,27.0
212202016004,1969.6459313333335,1987.6561016666665,155.0,168.9,12.0,23.0
212202020003,1505.9095906666669,782.3207486666666,158.0,167.6,12.0,23.0
212202062005,621.0840273333333,1360.0584346666667,88.0,154.5,1.0,12.0
212204005061,1672.9758510000001,1046.7192856666666,,165.5,19.0,30.0
212302006004,2059.1817963333338,1681.1090886666668,138.0,170.8,11.0,22.0
212303020062,1024.063213,1810.7136583333333,,155.0,1.0,12.0
212304012004,2233.7076,2777.7923090000004,161.3,157.9,19.0,31.0
212304015064,2075.095954666667,1941.004352,130.0,175.5,10.0,21.0
212305004003,1997.2967210000002,2161.2134353333336,79.5,146.0,1.0,11.0
212305019003,3018.24086,2237.036531,144.2,161.0,11.0,22.0
212401064003,2596.915498055556,1259.14658,153.4,157.5,16.0,27.0
212401068005,1116.8866050000001,1445.6980256666666,119.4,165.0,6.0,17.0
212401069005,2672.994950222222,2679.1735253333336,173.3,183.5,14.0,25.0
212402007003,3033.0248799999995,2637.4174466577574,177.0,184.2,16.0,27.0
212402014003,2728.0571032322096,2498.5295213333334,177.0,178.0,17.0,29.0
212402019003,2187.5349106666667,1324.0329373333334,156.5,160.1,11.0,22.0
