name,dalys_pc,gdp_cap,population,gdp_pc_clean,log_dalys_pc
Afghanistan,20368.9,$2144,40000411,2144,9.92176450678091
Albania,5371.2,$16354,2849643,16354,8.58880662622577
Algeria,7201,$14497,44761101,14497,8.881975184248867
Angola,28540.4,$7408,34532427,7408,10.25907590634957
Argentina,5674.8,$26300,45312283,26300,8.64379059943783
Armenia,5598.1,$15922,2870339,15922,8.630182533438536
Australia,934.8,$57322,25956416,57322,6.840332602664703
Austria,2000.3,$63576,8967053,63576,7.601052448293207
Azerbaijan,10607.4,$20111,10234373,20111,9.269307149740031
Bangladesh,10558,$7441,167658855,7441,9.264639145383562
Belarus,6171.2,$27611,9251367,27611,8.727648587453963
Belgium,1819.5,$61874,11570842,61874,7.506317017052215
Benin,27443.7,$3464,13413423,3464,10.21989191239992
Bhutan,8843.4,$13459,775451,13459,9.087426697070768
Bolivia,17436.6,$9454,11937369,9454,9.766326724328504
Bosnia and Herzegovina,5437.8,$18544,3244909,18544,8.60112984628879
Botswana,36471.7,$17961,2401449,17961,10.504291896371402
Brazil,8354.7,$18076,209550291,18076,9.030579533742106
Bulgaria,7933.8,$29537,6877222,29537,8.978887392790833
Burkina Faso,33010.4,$2486,21995249,2486,10.404577942313962
Burundi,27945.3,$837,12965487,837,10.23800430701923
Cambodia,11335.6,$6226,16974308,6226,9.335703494932854
Cameroon,30012.6,$4794,26915764,4794,10.30937257246898
Canada,1914.8,$55782,38454058,55782,7.557368457518354
Cape Verde,7424.8,$7685,516655,7685,8.912581027281183
Central African Republic,52091.6,$1129,5112102,1129,10.860758986335851
Chad,37022.4,$1700,17828274,1700,10.519278413847845
Chile,4173.8,$29105,19456323,29105,8.33658217082073
China,1631.4,$20407,1426437276,20407,7.39719382086648
Colombia,6234.2,$17700,51188174,17700,8.737805541942915
Comoros,17995.2,$3441,818178,3441,9.797860334649757
Republic of Congo,24996.2,$6263,5892186,6263,10.126479092297167
Costa Rica,4598.2,$24140,5059992,24140,8.433420201549836
Cote d'Ivoire,27556.5,$6045,29639735,6045,10.223993721417102
Croatia,3396.5,$36914,3924607,36914,8.130500768631357
Cuba,7200.4,$9605,11122169,9605,8.88189185901655
Cyprus,1486.5,$49930,1317312,49930,7.304179642438152
Czechia,4070.9,$49996,10530683,49996,8.311619384212086
Democratic Republic of Congo,27384,$1314,99148931,1314,10.217714180210022
Denmark,1426.7,$70342,5856773,70342,7.263119364120769
Djibouti,22178.7,$5948,1121251,5948,10.006887647825058
Dominican Republic,7172.5,$21912,11123480,21912,8.87800954785552
East Timor,12822,$6825,1350142,6825,9.458917724547202
Ecuador,7388,$13540,17682454,13540,8.90761234131913
Egypt,8031.8,$15579,110957004,15579,8.991163941223084
El Salvador,5664.4,$10810,6255781,10810,8.641956254348903
Equatorial Guinea,28672.6,$16821,1758796,16821,10.26369724189499
Eritrea,24727.8,$596,3350184,596,10.115683395781833
Estonia,3417.3,$45064,1331750,45064,8.136606044573977
Eswatini,52149.3,$9846,1206599,9846,10.86186603752004
Ethiopia,23463.9,$2588,122138590,2588,10.063218348800268
Fiji,9613.9,$10685,916717,10685,9.170965246901995
Finland,959.6,$57351,5541068,57351,6.86651653096554
France,1984,$53901,66083547,53901,7.592870287844818
Gabon,21257.2,$18524,2376728,18524,9.964450940494245
Gambia,24733.7,$2778,2576014,2778,10.11592196517532
Georgia,7403.8,$18916,3788450,18916,8.90974866090283
Germany,1874.5,$62950,83697082,62950,7.536097236175967
Ghana,21893.9,$6608,32518662,6608,9.993963338192668
Greece,2409,$33578,10579561,33578,7.786967002614872
Guatemala,11874.2,$11828,17598654,11828,9.382123258212435
Guinea,32108.1,$3739,13710516,3739,10.37686361373522
Guinea-Bissau,32026,$2451,2058842,2451,10.374303351882421
Guyana,14516.3,$22866,815484,22866,9.583027434969777
Haiti,20945.9,$3135,11374592,3135,9.949698202140468
Honduras,10185.6,$6203,10289882,6203,9.228730237087774
Hungary,5132.1,$38648,9707848,38648,8.543270211126355
India,14611.6,$8050,1414203889,8050,9.589571012780008
