.rownames,country_code,country_name,services,agriculture,industrial,manufacturing,resources,exports,imports,military,.fittedPC1,.fittedPC2,pc1
1,DZA,Algeria,48.741457152493,14.1347925891274,32.7121976957974,18.8249165025729,14.0343770936226,17.3157889010977,27.9953002099675,6.65999372695062,0.1812969365486264,-0.8296807564932338,-0.1812969365486264
2,AGO,Angola,45.138818048946,9.05067174603925,45.3745136246453,6.90930612367885,20.2476653863539,35.6420731357392,16.2453727846664,1.4441630818427,-1.4514038709348902,-1.0386511597211934,1.4514038709348902
3,ARG,Argentina,55.2922037696355,6.12846695022316,22.1805729052757,14.3671448537429,1.42962432529499,16.6108723998011,13.6089274859868,0.726855652396672,0.9745650379675592,-0.09117613262968755,-0.9745650379675592
4,ARM,Armenia,53.2412027973394,11.3498051554549,26.817295697929602,12.344909801717,2.4219055107181102,29.7649869151934,39.7238206244142,4.98273595939967,0.12641312303423857,0.08258739022239332,-0.12641312303423857
5,AUS,Australia,66.3259527419194,2.01210323364172,25.4062827896948,5.6268568723664,6.09315865556076,24.0082830210698,20.2251510630871,2.01178828555605,0.45263864398857717,-0.03841328358388113,-0.45263864398857717
6,AZE,Azerbaijan,42.3542363329985,6.7389474235341,41.9563201571824,6.10156507265966,13.0027347945894,35.6235558660257,36.3943117827554,5.39049499415887,-1.2021049221727922,-0.7907907786227509,1.2021049221727922
7,BHR,Bahrain,56.570711216645,0.31287419627649,40.2534802742994,18.1284749587285,10.7041414154858,72.7153247387956,67.09261495328,4.07439737467417,-2.5190607848871496,0.7738347210189377,2.5190607848871496
8,BLR,Belarus,49.5348013972656,7.07716352415493,30.8286746682162,21.486631801818,1.52063831654103,61.0121492642983,57.9217344260324,1.17416976177843,-1.3790675890983042,1.0046328756284106,1.3790675890983042
9,BEN,Benin,47.8975560834813,27.1090177212232,16.2907191907572,9.68718359074256,2.42798483756811,19.8724704276524,24.9607629492202,0.47063491684139,1.2761967417465467,0.46384224895353043,-1.2761967417465467
10,BTN,Bhutan,43.4657509981123,19.1516898551579,34.7144993674811,5.92124889811233,2.79203234949683,29.6639651797693,46.2571049554242,NA,-0.4439673970201306,-0.4956412955797318,0.4439673970201306
11,BOL,Bolivia,52.8072617557436,14.0009305293184,23.4919320082358,10.9578336602514,2.7203797976672,20.2725897739051,25.2306728196014,1.31907457185757,0.736964137552875,-0.044305926378451044,-0.736964137552875
12,BRA,Brazil,62.7952112732557,5.89324626563148,17.7016526354564,9.66341817884917,3.22987656043381,16.7950684328172,16.0953836716373,1.35547020275614,1.2931285350340895,0.2416971660960665,-1.2931285350340895
13,BRN,Brunei Darussalam,41.4503545662141,1.21750283610591,59.1336302400797,15.7698584856288,13.7524545777569,57.3561114159878,52.9348922424642,4.08087830418348,-3.295460531876364,-1.1957899434248145,3.295460531876364
14,BDI,Burundi,45.47971,28.6249500000001,10.74295,NA,13.8475521568267,4.54931999999994,22.2240099999999,1.97921598967036,2.274856167153729,0.27207840723751153,-2.274856167153729
15,CPV,Cabo Verde,58.861559176152,4.86405018483154,23.0872476526782,7.34710771294618,11.5827986817016,24.8509820217494,59.8417545432132,0.590190722908897,0.5885509833384028,0.16296656535719192,-0.5885509833384028
16,CMR,Cameroon,51.7619207732303,17.4968650540914,23.0380654380784,13.1809876103324,4.34202268521826,15.2358435072159,18.5031369912027,1.01044301237486,0.9656175631221806,-0.2069467046200339,-0.9656175631221806
17,CAF,Central African Republic,39.9930915631362,29.4959372264099,20.4481887620838,17.7270265677463,9.88532886509892,15.1724799997493,34.3485400014428,2.01014367862917,1.1564212269425598,-0.0210656181724288,-1.1564212269425598
18,TCD,Chad,43.5778253420438,46.8328453335089,15.9574740564936,3.19150040080212,13.9330901678111,26.7161490487759,42.0142110926852,3.07840567425457,1.034595684454621,0.7539121624429809,-1.034595684454621
19,CHL,Chile,56.1287314881457,4.08431323801444,29.960419189674,8.90754903453578,5.48716936741024,31.533534451748,26.9706253708118,2.08901542872975,-0.1708601239824603,-0.07729112543875392,0.1708601239824603
20,COL,Colombia,59.8928227058862,7.39086770152565,23.7880725208993,10.8719269384081,2.55119417609951,13.4908818196109,20.4133495007104,3.49945934177482,0.9788563514120578,-0.32927031278192825,-0.9788563514120578
21,COM,Comoros,51.4464133421776,35.7974035819198,8.08945323604662,NA,1.59920965443734,5.67175210840519,28.0581825073439,NA,2.4242254631861577,0.5086470885347671,-2.4242254631861577
22,COD,"Congo, Dem. Rep.",35.7076428949415,20.8834188843753,41.2135958862629,18.9912296625843,15.9281973313702,28.6049515263296,29.8868058018726,0.749453965197063,-0.8754618460949429,-1.0094082837911909,0.8754618460949429
23,COG,"Congo, Rep.",59.9182620424427,11.2417476443825,22.057854067117,NA,26.2181324216101,57.0127050989658,42.4095137873946,3.38433055518262,-0.5858771610355595,1.487114914287101,0.5858771610355595
24,CIV,Cote d'Ivoire,51.5606619316523,21.0824365135197,20.8569015548279,11.1958096588833,2.59163858078542,21.5681182248983,20.6364028168269,1.32823997840976,0.8782667717779834,0.1976435832110896,-0.8782667717779834
25,DOM,Dominican Republic,57.2042451585214,6.04147752532252,30.282471713565698,14.4450594216924,1.23931109405337,18.2956971595932,25.9979593928743,0.750479965269961,0.31992924476678264,-0.6149214405773576,-0.31992924476678264
